Basketball Matches (live) - 2025-11-04 18:23:39
============================================================

Anwil Wloclawek vs Braunschweig
  1: 1.51 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.91 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.95 @ AUTO
  Under: 168.5 @ AUTO
  Handicap2: 1.82 @ AUTO

Wurzburg vs Galatasaray
  1: 2.35 @ AUTO
  2: 1.71 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 3.5 @ AUTO
  H2: 1.94 @ AUTO
  Under: 1.88 @ AUTO
  Handicap2: 166.5 @ AUTO
  Over: 1.93 @ AUTO

Keila Korvpallikool vs Keila Basket
  1: 2.7 @ AUTO
  2: 1.53 @ AUTO
  H1: 1.76 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 175.5 @ AUTO
  Over: 1.88 @ AUTO

KB Bashkimi vs Cibona
  1: 1.72 @ AUTO
  2: 2.1 @ AUTO
  H1: 1.98 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.92 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.95 @ AUTO

Holbaek Stenhus vs Copenhagen Basketball
  1: 4.7 @ AUTO
  2: 1.2 @ AUTO
  H1: 1.8 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.85 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 174.5 @ AUTO
  Over: 1.88 @ AUTO

Buducnost vs Besiktas
  1: 2.05 @ AUTO
  2: 1.81 @ AUTO
  H1: 1.8 @ AUTO
  Handicap: 1.5 @ AUTO
  H2: 1.95 @ AUTO
  Under: 1.97 @ AUTO
  Handicap2: 169.5 @ AUTO
  Over: 1.88 @ AUTO

Koping Stars vs Uppsala Basket
  1: 1.79 @ AUTO
  2: 2.0 @ AUTO
  H1: 1.93 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.9 @ AUTO
  Under: 172.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Sodertalje vs Norrkoping
  1: 3.9 @ AUTO
  2: 1.29 @ AUTO
  H1: 1.82 @ AUTO
  Handicap: 8.5 @ AUTO
  H2: 1.94 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 159.5 @ AUTO
  Over: 1.85 @ AUTO

Sloga Uppsala vs Boras
  1: 9.75 @ AUTO
  2: 1.06 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 14.5 @ AUTO
  H2: 1.8 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 169.5 @ AUTO
  Over: 1.85 @ AUTO

Nassjo vs Jamtland
  1: 2.18 @ AUTO
  2: 1.74 @ AUTO
  H1: 1.7 @ AUTO
  Handicap: 2.5 @ AUTO
  H2: 2.01 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 185.5 @ AUTO
  Over: 1.85 @ AUTO

Landes W vs Cukurova Basketbol W
  1: 1.79 @ AUTO
  2: 2.18 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.92 @ AUTO
  Under: 136.5 @ AUTO
  Handicap2: 1.9 @ AUTO

JL Bourg vs BV Chemnitz 99Ers
  1: 1.3 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.99 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.9 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.97 @ AUTO

Venezia W vs Stadium Casablanca W
  1: 1.53 @ AUTO
  2: 2.55 @ AUTO
  H1: 1.94 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.9 @ AUTO
  Under: 142.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Varese vs Virtus Bologna
  1: 4.8 @ AUTO
  2: 1.25 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 9.5 @ AUTO
  H2: 1.9 @ AUTO
  Under: 1.97 @ AUTO
  Handicap2: 168.5 @ AUTO
  Over: 1.9 @ AUTO

Skk Student Igokea vs MZT Skopje
  1: 1.78 @ AUTO
  2: 2.04 @ AUTO
  H1: 1.95 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.88 @ AUTO
  Under: 157.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Trento vs Lietkabelis
  1: 1.5 @ AUTO
  2: 2.7 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.93 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.93 @ AUTO

Reggiana vs Dijon
  1: 1.63 @ AUTO
  2: 2.42 @ AUTO
  H1: 1.98 @ AUTO
  Handicap: 1.83 @ AUTO
  H2: 1.95 @ AUTO
  Under: 161.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Bourges W vs Arka Gdynia Sportowa Spolka Akcyjna W
  1: 1.03 @ AUTO
  2: 14.0 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.93 @ AUTO
  H2: 1.9 @ AUTO
  Under: 138.5 @ AUTO
  Handicap2: 1.93 @ AUTO

