Basketball Matches (live) - 2025-10-24 17:27:54
============================================================

Ventspils vs Latvijas Universitate
  1: 1.01 @ AUTO
  2: 13.0 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.88 @ AUTO
  H2: 1.88 @ AUTO
  Under: 166.5 @ AUTO
  Handicap2: 1.88 @ AUTO

Salon Vilpas vs KTP Kotka Basket
  1: 1.26 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.86 @ AUTO
  Under: 175.5 @ AUTO
  Handicap2: 1.92 @ AUTO

Bisons Loimaa vs UU Korihait Uusikaupunki
  1: 1.68 @ AUTO
  2: 2.18 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.75 @ AUTO
  H2: 1.9 @ AUTO
  Under: 170.5 @ AUTO
  Handicap2: 1.9 @ AUTO

Sloboda vs Kk Cacak 94
  1: 1.24 @ AUTO
  2: 4.1 @ AUTO
  H1: 1.9 @ AUTO
  Handicap: 1.85 @ AUTO
  H2: 1.9 @ AUTO
  Under: 159.5 @ AUTO
  Handicap2: 1.9 @ AUTO

KK Joker Sombor vs Zlatibor
  1: 4.7 @ AUTO
  2: 1.2 @ AUTO
  H1: 1.92 @ AUTO
  Handicap: 8.5 @ AUTO
  H2: 1.8 @ AUTO
  Under: 1.85 @ AUTO
  Handicap2: 178.5 @ AUTO
  Over: 1.9 @ AUTO

Nizhny Novgorod vs Zenit
  1: 8.5 @ AUTO
  2: 1.14 @ AUTO
  H1: 1.98 @ AUTO
  Handicap: 12.5 @ AUTO
  H2: 1.97 @ AUTO
  Under: 1.95 @ AUTO
  Handicap2: 165.5 @ AUTO
  Over: 1.98 @ AUTO

Szolnoki Olaj vs Budapesti Honved SE
  1: 1.16 @ AUTO
  2: 5.2 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.87 @ AUTO
  H2: 1.92 @ AUTO
  Under: 164.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Rigas Zelli vs BK Liepaja
  1: 1.07 @ AUTO
  2: 9.5 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.95 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.83 @ AUTO

Minyor 2015 vs Spartak Pleven
  1: 2.55 @ AUTO
  2: 1.47 @ AUTO
  H1: 1.75 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.9 @ AUTO
  Handicap2: 165.5 @ AUTO
  Over: 1.88 @ AUTO

KTE Duna vs NKA Universitas Pecs
  1: 1.63 @ AUTO
  2: 2.18 @ AUTO
  H1: 1.87 @ AUTO
  Handicap: 1.9 @ AUTO
  H2: 1.95 @ AUTO
  Under: 165.5 @ AUTO
  Handicap2: 1.85 @ AUTO

KK Kvarner 2010 vs KK Dinamo Zagreb
  1: 2.55 @ AUTO
  2: 1.47 @ AUTO
  H1: 1.88 @ AUTO
  Handicap: 4.5 @ AUTO
  H2: 1.87 @ AUTO
  Under: 1.85 @ AUTO
  Handicap2: 156.5 @ AUTO
  Over: 1.87 @ AUTO

Valmiera Glass Via vs Keila Basket
  1: 1.04 @ AUTO
  2: 12.3 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.92 @ AUTO
  H2: 1.9 @ AUTO
  Under: 167.5 @ AUTO
  Handicap2: 1.85 @ AUTO

Bakken Bears vs Naestved
  1: 1.25 @ AUTO
  2: 4.7 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 1.83 @ AUTO
  H2: 1.95 @ AUTO
  Under: 186.5 @ AUTO
  Handicap2: 1.85 @ AUTO

KK Metalac vs Vojvodina Novi Sad
  1: 4.1 @ AUTO
  2: 1.23 @ AUTO
  H1: 1.85 @ AUTO
  Handicap: 8.5 @ AUTO
  H2: 1.88 @ AUTO
  Under: 1.85 @ AUTO
  Handicap2: 159.5 @ AUTO
  Over: 1.91 @ AUTO

Wels vs Traiskirchen Lions
